scn_id,scn_cls,scn_sentence,reasoning,qid01,query01,ktype_num01,ktype01,ctype_num01,ctype01,qtype_num01,qtype01,qid02,query02,ktype_num02,ktype02,ctype_num02,ctype02,qtype_num02,qtype02,qid03,query03,ktype_num03,ktype03,ctype_num03,ctype03,qtype_num03,qtype03,qid04,query04,ktype_num04,ktype04,ctype_num04,ctype04,qtype_num04,qtype04,qid05,query05,ktype_num05,ktype05,ctype_num05,ctype05,qtype_num05,qtype05
078EHZ,0,A wrench was placed on the bed,It's unclear who placed the wrench on the bed.,078EHZQ01,Why is there a wrench on the bed?,5,Spatial layout,2,Comprehension,10,Intention disclosure,078EHZQ02,Who placed the wrench there?,1,Identity,3,Operation,3,Concept completion,078EHZQ03,Is there any repair work going on in the room?,7,Contents,3,Operation,1,Verification,078EHZQ04,Does the person who placed it there have any knowledge about tools?,10,Intention,4,Evaluation,4,Feature specification,078EHZQ05,What is the condition of the bed after the wrench was placed on it?,3,Attributes,2,Comprehension,11,Result account
079ETM,2,"An alarm clock, once set religiously every night, now collects dust unused","It's unclear why the alarm clock, which was once set religiously every night, is now collecting dust and unused.",079ETMQ01,Why has the alarm clock been abandoned?,9,Causality,2,Comprehension,10,Intention disclosure,079ETMQ02,What has changed in the owner's routine?,10,Intention,3,Operation,3,Concept completion,079ETMQ03,Is the owner still living in the same place?,5,Spatial layout,3,Operation,1,Verification,079ETMQ04,Has the owner switched to a different method of waking up?,8,Procedure,3,Operation,1,Verification,079ETMQ05,What is the overall condition of the room where the clock is located?,3,Attributes,1,Knowledge,4,Feature specification
07DFJ6,0,A pair of scissors is lying on the balcony railing,"It's unclear why a pair of scissors is lying on the balcony railing, an unusual place for such an object.",07DFJ6Q01,Who left the scissors on the balcony railing?,1,Identity,1,Knowledge,3,Concept completion,07DFJ6Q02,What were the scissors used for?,3,Attributes,3,Operation,12,Method explication,07DFJ6Q03,Is the balcony usually used for activities that require scissors?,3,Attributes,1,Knowledge,1,Verification,07DFJ6Q04,Are there any other tools or objects near the scissors?,5,Spatial layout,1,Knowledge,4,Feature specification,07DFJ6Q05,Could the wind potentially knock the scissors off the railing?,9,Causality,3,Operation,1,Verification
07ONM6,2,The garden gnome was suddenly missing from the yard,It's unclear who might have taken the garden gnome from the yard.,07ONM6Q01,Who could have taken the garden gnome?,1,Identity,3,Operation,10,Intention disclosure,07ONM6Q02,Are there any signs of forced entry into the yard?,3,Attributes,3,Operation,1,Verification,07ONM6Q03,Was the gnome of significant value?,4,Quantities,4,Evaluation,5,Quantification,07ONM6Q04,Are there any security cameras around the property?,5,Spatial layout,1,Knowledge,3,Concept completion,07ONM6Q05,Has anything else been disturbed or gone missing from the yard?,7,Contents,3,Operation,1,Verification
07X5JI,2,The teacher's desk is stained with crayons,It's unclear how the teacher's desk ended up being stained with crayons.,07X5JIQ01,Who stained the teacher's desk with crayons?,1,Identity,1,Knowledge,3,Concept completion,07X5JIQ02,What color are the crayon stains?,3,Attributes,1,Knowledge,4,Feature specification,07X5JIQ03,Are there any other damages to the teacher's desk?,3,Attributes,1,Knowledge,1,Verification,07X5JIQ04,Was the teacher present when the desk was stained?,6,Temporal relation,1,Knowledge,1,Verification,07X5JIQ05,What was the reaction of the teacher upon seeing the stained desk?,11,Internal state,4,Evaluation,11,Result account
08AS9K,2,A habitual early riser is seen sleeping in till noon,"It's unclear why the habitual early riser, who usually wakes up early, is seen sleeping in till noon.",08AS9KQ01,What caused the early riser to sleep in till noon?,9,Causality,3,Operation,9,Cause elucidation,08AS9KQ02,Has there been a change in the person's routine or health?,3,Attributes,3,Operation,1,Verification,08AS9KQ03,Is this a one-time occurrence or has it become a pattern?,4,Quantities,3,Operation,2,Case specification,08AS9KQ04,What was the person's activity the previous night?,7,Contents,3,Operation,3,Concept completion,08AS9KQ05,Could there be external factors influencing the person's sleep pattern?,9,Causality,3,Operation,9,Cause elucidation
08OL2H,2,"The vintage car, once a symbol of luxury, was covered in rust",It's unclear how a symbol of luxury like the vintage car ended up covered in rust.,08OL2HQ01,What caused the car to rust?,9,Causality,3,Operation,9,Cause elucidation,08OL2HQ02,Was the car left exposed to harsh weather conditions?,3,Attributes,3,Operation,1,Verification,08OL2HQ03,Did the previous owner neglect its maintenance?,10,Intention,3,Operation,1,Verification,08OL2HQ04,What is the history of this vintage car?,7,Contents,1,Knowledge,3,Concept completion,08OL2HQ05,Can the car be restored to its former glory?,8,Procedure,3,Operation,3,Concept completion
08X4EY,0,A dog leash is hanging on a clothes hanger,"It's unclear why a dog leash, which is typically used for walking dogs, is hanging on a clothes hanger, an item usually reserved for clothing.",08X4EYQ01,Why is the dog leash on a clothes hanger?,9,Causality,2,Comprehension,10,Intention disclosure,08X4EYQ02,Is the leash being used for a dog or for another purpose?,3,Attributes,3,Operation,2,Case specification,08X4EYQ03,What condition is the leash in?,3,Attributes,1,Knowledge,4,Feature specification,08X4EYQ04,Are there any other items hanging on the clothes hanger?,5,Spatial layout,1,Knowledge,3,Concept completion,08X4EYQ05,Where is the clothes hanger located?,5,Spatial layout,1,Knowledge,3,Concept completion
097FVL,0,A flashlight was found on a serving platter,"It's unclear why a flashlight would be found on a serving platter, which is typically used for food.",097FVLQ01,Why was the flashlight on the serving platter?,9,Causality,3,Operation,10,Intention disclosure,097FVLQ02,Was the flashlight used during a meal?,3,Attributes,3,Operation,1,Verification,097FVLQ03,Is the flashlight part of a game or prank?,2,Class,3,Operation,2,Case specification,097FVLQ04,Does the flashlight have any special significance?,7,Contents,4,Evaluation,8,Interpretation,097FVLQ05,Could the flashlight have been left there by mistake?,9,Causality,3,Operation,10,Intention disclosure
09B8NJ,0,"A television remote is on the kitchen counter, next to the coffee machine","It's unclear why a television remote is on the kitchen counter, next to the coffee machine, a place where it's not typically found.",09B8NJQ01,Why is the television remote in the kitchen?,5,Spatial layout,2,Comprehension,10,Intention disclosure,09B8NJQ02,Is the coffee machine near a television?,5,Spatial layout,3,Operation,1,Verification,09B8NJQ03,Who last used the television remote?,1,Identity,1,Knowledge,3,Concept completion,09B8NJQ04,What show was last watched using this remote?,7,Contents,1,Knowledge,3,Concept completion,09B8NJQ05,Is it common for the remote to be misplaced in this household?,3,Attributes,4,Evaluation,1,Verification
09X1JM,1,A traveler enters an airport wearing winter clothes during summer,"It's unclear why the traveler is wearing winter clothes during summer, which is an unusual choice of attire for the season.",09X1JMQ01,Why is the traveler wearing winter clothes in summer?,3,Attributes,2,Comprehension,10,Intention disclosure,09X1JMQ02,Where is the traveler coming from?,5,Spatial layout,1,Knowledge,3,Concept completion,09X1JMQ03,What is the purpose of the traveler's visit?,10,Intention,3,Operation,10,Intention disclosure,09X1JMQ04,Is the traveler aware of the current season?,11,Internal state,4,Evaluation,1,Verification,09X1JMQ05,Does the traveler's attire affect his comfort in the summer heat?,3,Attributes,3,Operation,11,Result account
0AJV58,2,"The restaurant, usually buzzing with activity, stands empty","It's unclear why the restaurant, which is usually buzzing with activity, stands empty now.",0AJV58Q01,Why is the usually busy restaurant empty now?,9,Causality,2,Comprehension,10,Intention disclosure,0AJV58Q02,Has there been a recent event that caused the restaurant to be deserted?,9,Causality,3,Operation,9,Cause elucidation,0AJV58Q03,Are there any signs of a sudden evacuation?,3,Attributes,3,Operation,3,Concept completion,0AJV58Q04,What is the current state of the surrounding area?,5,Spatial layout,2,Comprehension,3,Concept completion,0AJV58Q05,Is there any indication of when the restaurant might return to its usual state?,6,Temporal relation,3,Operation,13,Expectation
0B6J3P,0,"A soccer ball is in the library, sitting quietly on a bookshelf","It's unclear why a soccer ball, which is typically associated with outdoor sports, is sitting quietly on a bookshelf in a library.",0B6J3PQ01,How did the soccer ball end up in the library?,8,Procedure,3,Operation,12,Method explication,0B6J3PQ02,What is the significance of the soccer ball being on the bookshelf?,7,Contents,2,Comprehension,8,Interpretation,0B6J3PQ03,Are there any other unusual items in the library?,3,Attributes,3,Operation,3,Concept completion,0B6J3PQ04,Is the soccer ball related to a specific book or topic in the library?,9,Causality,3,Operation,2,Case specification,0B6J3PQ05,Does the library have a history of unusual occurrences or items?,7,Contents,1,Knowledge,1,Verification
0C2F5Q,1,"A teenager insists on wearing gloves at all times, even in warm weather","It's unclear why the teenager insists on wearing gloves at all times, even in warm weather.",0C2F5QQ01,Why does the teenager insist on wearing gloves even in warm weather?,10,Intention,2,Comprehension,10,Intention disclosure,0C2F5QQ02,What is the teenager's emotional state when asked to remove the gloves?,11,Internal state,4,Evaluation,4,Feature specification,0C2F5QQ03,Are there any visible signs of discomfort or distress when the teenager is without gloves?,11,Internal state,3,Operation,1,Verification,0C2F5QQ04,What is the teenager's reaction to different types of weather conditions?,3,Attributes,3,Operation,4,Feature specification,0C2F5QQ05,Does the teenager have any known medical conditions or phobias that could explain this behavior?,9,Causality,1,Knowledge,3,Concept completion
0D8CX6,1,A bartender is seen cleaning the same glass for a prolonged period,It's unclear why the bartender is cleaning the same glass for such a prolonged period.,0D8CX6Q01,Why is the bartender cleaning the same glass for so long?,7,Contents,2,Comprehension,10,Intention disclosure,0D8CX6Q02,Is the bartender distracted or lost in thought?,11,Internal state,4,Evaluation,2,Case specification,0D8CX6Q03,What is the condition of the other glasses at the bar?,3,Attributes,3,Operation,3,Concept completion,0D8CX6Q04,Is there a lack of customers that allows for such prolonged cleaning?,4,Quantities,3,Operation,1,Verification,0D8CX6Q05,Does the bartender seem to be avoiding any particular task or person?,10,Intention,4,Evaluation,10,Intention disclosure
0DPH95,2,An antique shop began displaying modern trinkets,"It's unclear why an antique shop, which typically specializes in old and vintage items, began displaying modern trinkets.",0DPH95Q01,Why has the antique shop started displaying modern trinkets?,9,Causality,2,Comprehension,10,Intention disclosure,0DPH95Q02,What kind of modern trinkets are being displayed?,3,Attributes,1,Knowledge,4,Feature specification,0DPH95Q03,How have the customers reacted to this change?,11,Internal state,3,Operation,11,Result account,0DPH95Q04,Is the shop still selling antiques alongside the modern trinkets?,2,Class,1,Knowledge,1,Verification,0DPH95Q05,What is the shop owner's motivation behind this change?,10,Intention,4,Evaluation,10,Intention disclosure
0DVL16,0,A dog leash is wrapped around a bedside lamp,It's unclear how a dog leash ended up wrapped around a bedside lamp.,0DVL16Q01,Why is the dog leash wrapped around the bedside lamp?,5,Spatial layout,3,Operation,10,Intention disclosure,0DVL16Q02,Is there a dog present in the room?,5,Spatial layout,1,Knowledge,1,Verification,0DVL16Q03,What condition is the lamp in?,3,Attributes,2,Comprehension,4,Feature specification,0DVL16Q04,Are there any signs of struggle or chaos in the room?,0,Undetermined,2,Comprehension,1,Verification,0DVL16Q05,Who is the owner of the dog leash?,1,Identity,1,Knowledge,3,Concept completion
0EBZ75,1,The florist arranged only half of the bouquet,It's unclear why the florist only arranged half of the bouquet.,0EBZ75Q01,Why did the florist only arrange half of the bouquet?,9,Causality,3,Operation,10,Intention disclosure,0EBZ75Q02,What is the significance of the half-arranged bouquet?,7,Contents,2,Comprehension,8,Interpretation,0EBZ75Q03,What flowers were used in the bouquet?,3,Attributes,1,Knowledge,3,Concept completion,0EBZ75Q04,What is the occasion for the bouquet?,10,Intention,1,Knowledge,3,Concept completion,0EBZ75Q05,What is the reaction of the customer to the half-arranged bouquet?,11,Internal state,4,Evaluation,11,Result account
0FYB85,1,"A mail carrier ignores a ""no soliciting"" sign and delivers flyers on the doorstep","It's unclear why the mail carrier, who should respect the ""no soliciting"" sign, is delivering flyers on the doorstep.",0FYB85Q01,"Why did the mail carrier ignore the ""no soliciting"" sign?",9,Causality,2,Comprehension,10,Intention disclosure,0FYB85Q02,What was the content of the flyers delivered?,7,Contents,1,Knowledge,3,Concept completion,0FYB85Q03,Does the mail carrier often disregard such signs?,3,Attributes,3,Operation,1,Verification,0FYB85Q04,"What are the consequences for ignoring a ""no soliciting"" sign?",9,Causality,4,Evaluation,11,Result account,0FYB85Q05,"Is the ""no soliciting"" sign clearly visible?",5,Spatial layout,2,Comprehension,1,Verification
0G1V9J,0,A pillow is in the oven,"It's unclear why a pillow would be in the oven, as this is not a typical place for it.",0G1V9JQ01,Why is there a pillow in the oven?,5,Spatial layout,3,Operation,10,Intention disclosure,0G1V9JQ02,Is the oven turned on or off?,3,Attributes,1,Knowledge,2,Case specification,0G1V9JQ03,What type of pillow is it?,3,Attributes,1,Knowledge,4,Feature specification,0G1V9JQ04,Is there any sign of damage to the pillow or oven?,3,Attributes,3,Operation,1,Verification,0G1V9JQ05,Who could have possibly put the pillow in the oven?,1,Identity,3,Operation,3,Concept completion
0GDK82,0,A hammer is lying on the pillow of the bed,"It's unclear why a hammer would be lying on the pillow of a bed, a place typically reserved for rest and comfort.",0GDK82Q01,Why is there a hammer on the pillow?,7,Contents,2,Comprehension,10,Intention disclosure,0GDK82Q02,Who left the hammer on the bed?,1,Identity,3,Operation,3,Concept completion,0GDK82Q03,Was there any construction or repair work going on?,9,Causality,3,Operation,1,Verification,0GDK82Q04,Is the bed usually used for such unusual purposes?,3,Attributes,4,Evaluation,1,Verification,0GDK82Q05,What is the condition of the pillow and bed after the hammer was placed?,3,Attributes,3,Operation,4,Feature specification
0HKR65,0,A calculator was buried in the backyard,It's unclear why a calculator would be buried in the backyard.,0HKR65Q01,Why was the calculator buried in the backyard?,9,Causality,2,Comprehension,10,Intention disclosure,0HKR65Q02,Who could have possibly buried the calculator?,1,Identity,3,Operation,3,Concept completion,0HKR65Q03,Was the calculator functional before it was buried?,3,Attributes,3,Operation,1,Verification,0HKR65Q04,What is the significance of the location where the calculator was buried?,7,Contents,3,Operation,8,Interpretation,0HKR65Q05,Are there any other unusual items buried in the backyard?,5,Spatial layout,3,Operation,3,Concept completion
0HU92E,1,The librarian placed the book on a shelf out of alphabetical order,"It's unclear why the librarian, who should be familiar with the system, placed the book on a shelf out of alphabetical order.",0HU92EQ01,Why did the librarian place the book out of alphabetical order?,9,Causality,3,Operation,10,Intention disclosure,0HU92EQ02,What is the title of the book that was misplaced?,1,Identity,1,Knowledge,3,Concept completion,0HU92EQ03,Does the librarian usually follow the alphabetical order for shelving?,3,Attributes,1,Knowledge,1,Verification,0HU92EQ04,Is there a special reason for this particular book's placement?,10,Intention,4,Evaluation,8,Interpretation,0HU92EQ05,Are there other books on the shelf that are out of order?,3,Attributes,3,Operation,1,Verification
0I26RY,1,An employee takes long lunch breaks but finishes all their work on time,It's unclear how the employee manages to take long lunch breaks yet still completes all their work on time.,0I26RYQ01,What motivates the employee to take long lunch breaks?,10,Intention,3,Operation,10,Intention disclosure,0I26RYQ02,How does the employee manage to finish all their work on time despite the long breaks?,8,Procedure,3,Operation,12,Method explication,0I26RYQ03,Does the employee's long lunch breaks affect the team's dynamics or workflow?,9,Causality,4,Evaluation,1,Verification,0I26RYQ04,Are there any company policies regarding lunch break durations?,7,Contents,1,Knowledge,0,Undetermined,0I26RYQ05,Could the employee's long lunch breaks be a sign of a work-life balance issue?,9,Causality,4,Evaluation,8,Interpretation
0J45IK,1,"A roommate always leaves the bathroom light on, even when they are not inside","It's unclear why the roommate always leaves the bathroom light on, even when they are not inside.",0J45IKQ01,Why does the roommate leave the bathroom light on when not in use?,10,Intention,2,Comprehension,10,Intention disclosure,0J45IKQ02,Is the roommate forgetful or is there a specific reason for this behavior?,10,Intention,4,Evaluation,2,Case specification,0J45IKQ03,Does the roommate have a fear of the dark or any other phobia related to darkness?,11,Internal state,3,Operation,2,Case specification,0J45IKQ04,Are there any safety or practical reasons for keeping the light on?,9,Causality,3,Operation,4,Feature specification,0J45IKQ05,How does this habit affect the electricity bill?,4,Quantities,3,Operation,5,Quantification
0K18PU,1,A man was seen digging a hole in his backyard at 3 AM,It's unclear why the man was digging a hole in his backyard at such an unusual hour.,0K18PUQ01,What was the man's purpose for digging a hole in his backyard at such an unusual hour?,10,Intention,2,Comprehension,10,Intention disclosure,0K18PUQ02,Could there be any legal implications for his actions?,9,Causality,4,Evaluation,8,Interpretation,0K18PUQ03,"What was the reaction of the neighbors, if any, to this activity?",11,Internal state,2,Comprehension,11,Result account,0K18PUQ04,What tools was the man using to dig the hole?,3,Attributes,1,Knowledge,4,Feature specification,0K18PUQ05,Was there any particular reason for choosing the backyard as the location for digging?,5,Spatial layout,3,Operation,9,Cause elucidation
0K91XA,1,A dog owner wears their dog's collar around their neck,It's unclear why the dog owner is wearing their dog's collar around their own neck.,0K91XAQ01,Why is the dog owner wearing their dog's collar?,10,Intention,2,Comprehension,10,Intention disclosure,0K91XAQ02,Is this a common practice for the dog owner?,2,Class,3,Operation,1,Verification,0K91XAQ03,What is the reaction of the dog to this situation?,11,Internal state,2,Comprehension,11,Result account,0K91XAQ04,Are there any specific symbols or tags on the collar?,3,Attributes,1,Knowledge,4,Feature specification,0K91XAQ05,Does the collar hold any significant meaning to the owner?,7,Contents,3,Operation,8,Interpretation
0L62UT,1,A coworker always carries a pocket watch and checks it several times an hour,It's unclear why the coworker constantly checks their pocket watch several times an hour.,0L62UTQ01,Why does the coworker frequently check their pocket watch?,10,Intention,2,Comprehension,10,Intention disclosure,0L62UTQ02,Is the pocket watch of any significant value or sentiment?,3,Attributes,4,Evaluation,8,Interpretation,0L62UTQ03,Does the coworker have a strict schedule to follow?,8,Procedure,3,Operation,1,Verification,0L62UTQ04,Is the pocket watch functioning properly?,3,Attributes,1,Knowledge,4,Feature specification,0L62UTQ05,Does the coworker exhibit any other unusual habits?,11,Internal state,2,Comprehension,3,Concept completion
0L6GR8,2,"A car, always glistening clean, now wears a dull, dusty coat","It's unclear how the car, which is always glistening clean, now wears a dull, dusty coat.",0L6GR8Q01,What caused the car to lose its usual shine?,9,Causality,3,Operation,9,Cause elucidation,0L6GR8Q02,Has the car been abandoned or neglected?,3,Attributes,4,Evaluation,2,Case specification,0L6GR8Q03,Is the car located in a dusty environment?,5,Spatial layout,3,Operation,1,Verification,0L6GR8Q04,Has there been a recent event that could have caused the dust accumulation?,9,Causality,3,Operation,3,Concept completion,0L6GR8Q05,Does the car's condition reflect a change in the owner's circumstances?,10,Intention,4,Evaluation,10,Intention disclosure
0L6Y9V,1,A man consistently loses his keys but never bothers to find a better place to keep them,"It's unclear why the man, who consistently loses his keys, never bothers to find a better place to keep them.",0L6Y9VQ01,Why does the man not consider finding a better place for his keys?,10,Intention,2,Comprehension,10,Intention disclosure,0L6Y9VQ02,What is the man's usual reaction when he loses his keys?,11,Internal state,1,Knowledge,11,Result account,0L6Y9VQ03,Does the man live alone or with others who could be affected by his habit?,2,Class,3,Operation,2,Case specification,0L6Y9VQ04,Are there any consequences the man faces due to his consistent loss of keys?,9,Causality,4,Evaluation,11,Result account,0L6Y9VQ05,Could there be an underlying reason for the man's lack of concern about losing his keys?,10,Intention,3,Operation,9,Cause elucidation
0LBD76,0,A key is found in the fruit bowl,It's unclear how a key ended up in the fruit bowl.,0LBD76Q01,How did the key end up in the fruit bowl?,9,Causality,3,Operation,12,Method explication,0LBD76Q02,Is the key related to something in the house?,3,Attributes,3,Operation,4,Feature specification,0LBD76Q03,Does the key belong to a family member or a guest?,1,Identity,3,Operation,2,Case specification,0LBD76Q04,Is the key intentionally placed in the fruit bowl?,10,Intention,4,Evaluation,10,Intention disclosure,0LBD76Q05,What does the key open?,3,Attributes,1,Knowledge,3,Concept completion
